"Author","Year","Art_ID","Experimental_Unit","Group","Species","Strain","Sex","Age_wks","Duration_wks","Method","Diet_P","Diet_C","Diet_F","Diet_Iso","Diet_Leu","Diet_Val","Diet_BCAA","Diet_kJ_g","Trait","Time_fasted","Change_Adjusted","n","Mean","SD","unique_ID"
"Konishi ",1982,73,"73_2","73_2_1","R","Sprague_Dawley_rat","M",NA,3,"ad_lib",11.41,75.84,12.75,0.4,0.81,0.69,1.9,14.9,"circ_leu",2,NA,6,4.913,0.59703015,"73_2"
"Konishi ",1982,73,"73_2","73_2_2","R","Sprague_Dawley_rat","M",NA,3,"ad_lib",11.41,75.84,12.75,0.4,1.54,0.69,2.63,14.9,"circ_leu",2,NA,6,5.695,0.525475975,"73_2"
"Block ",1987,75,"75_1","75_1_1","R","Wistar_rat","M",NA,1.428571,"meal_fed",9.3,79.5,11.2,0.42,0.77,0.56,1.75,16.7,"circ_leu",18,NA,5,88.857,23.898,"75_1"
"Block ",1987,75,"75_1","75_1_2","R","Wistar_rat","M",NA,1.428571,"meal_fed",25,63.8,11.2,1.18,2.14,1.57,4.89,16.7,"circ_leu",18,NA,11,124.789,71.77728919,"75_1"
"Block ",1987,75,"75_1","75_1_3","R","Wistar_rat","M",NA,1.428571,"meal_fed",50,38.8,11.2,2.36,4.28,3.13,9.77,16.7,"circ_leu",18,NA,5,230.701,47.82,"75_1"
"Soemitro ",1989,79,"79_1","79_1_2","R","Sprague_Dawley_rat","M",NA,1.285714,"meal_fed",9.95,78.92,11.12,0.47,0.86,0.63,1.96,17.1,"circ_leu",0,NA,5,158,NA,"79_1"
"Soemitro ",1989,79,"79_1","79_1_3","R","Sprague_Dawley_rat","M",NA,1.285714,"meal_fed",19.91,68.97,11.12,0.94,1.71,1.25,3.9,17.1,"circ_leu",0,NA,5,273,46,"79_1"
"Soemitro ",1989,79,"79_1","79_1_4","R","Sprague_Dawley_rat","M",NA,1.285714,"meal_fed",29.85,59.02,11.12,1.42,2.57,1.88,5.87,17.1,"circ_leu",0,NA,5,315,NA,"79_1"
"Soemitro ",1989,79,"79_1","79_1_5","R","Sprague_Dawley_rat","M",NA,1.285714,"meal_fed",49.76,39.11,11.12,2.36,4.28,3.13,9.77,17.1,"circ_leu",0,NA,5,524,NA,"79_1"
"Owens ",1994,83,"83_1","83_1_1","R","Sprague_Dawley_rat","M",NA,2.857143,"ad_lib",11.7,79.16,9.14,0.49,0.75,0.49,1.73,16.6,"circ_leu",0,NA,4,0.055,NA,"83_1"
"Owens ",1994,83,"83_1","83_1_2","R","Sprague_Dawley_rat","M",NA,2.857143,"ad_lib",11.85,79.01,9.14,0.49,0.9,0.49,1.88,16.6,"circ_leu",0,NA,4,0.112,NA,"83_1"
"Peters",1985,87,"87_1","87_1_2","R","King_rat","M",NA,1.6,"ad_lib",9.437694264,80.22040124,10.34190449,0.496422718,0.748409155,0.574755581,1.819587454,17.695,"circ_leu",0,NA,5,0.197,NA,"87_1"
"Peters",1985,87,"87_1","87_1_3","R","King_rat","M",NA,1.6,"ad_lib",14.1565414,75.50155411,10.34190449,0.744634077,1.122613733,0.862133371,2.729381181,17.695,"circ_leu",0,NA,5,0.226,NA,"87_1"
"Peters",1985,87,"87_1","87_1_4","R","King_rat","M",NA,1.6,"ad_lib",18.87538853,70.78270698,10.34190449,0.992845437,1.49681831,1.149511161,3.639174908,17.695,"circ_leu",0,NA,5,0.272,NA,"87_1"
