"Author","Year","Art_ID","Experimental_Unit","Group","Species","Strain","Sex","Age_wks","Duration_wks","Method","Diet_P","Diet_C","Diet_F","Diet_Iso","Diet_Leu","Diet_Val","Diet_BCAA","Diet_kJ_g","Trait","Time_fasted","Change_Adjusted","n","Mean","SD","unique_ID"
"Noatsch ",2011,47,"47_1","47_1_1","M","C57Bl6_mouse",NA,NA,9,"ad_lib",21.3,67,11.8,1.1289,3.5358,1.065,5.7297,14.3,"plas_ins",19,NA,10,0.982,0.462,"47_1"
"Noatsch ",2011,47,"47_1","47_1_2","M","C57Bl6_mouse",NA,NA,9,"ad_lib",26,62.2,11.8,1.014,10.192,0.9672,12.1732,14.3,"plas_ins",19,NA,10,1.116,0.219,"47_1"
"Noatsch ",2011,47,"47_1","47_1_3","M","C57Bl6_mouse",NA,NA,9,"ad_lib",53.2,35.1,11.8,2.8728,9.7888,2.4472,15.1088,14.3,"plas_ins",19,NA,10,1.253,0.153,"47_1"
"Torres Leal",2011,55,"55_1","55_1_1","R","Sprague_Dawley_rat","M",32,6,"ad_lib",14.74,75.85,9.41,0.7,1.26,0.92,2.88,16.15,"plas_ins",12,NA,6,0.868,0.335410197,"55_1"
"Torres Leal",2011,55,"55_1","55_1_2","R","Sprague_Dawley_rat","M",32,6,"ad_lib",19.96,70.59,9.4,0.7,6.52,0.92,8.14,16.15,"plas_ins",12,NA,6,0.839,0.268328157,"55_1"
"Vianna",2012,56,"56_1","56_1_1","R","Sprague_Dawley_rat","M",24,40,"ad_lib",17.97,72.63,9.4,0.69,1.26,0.92,2.87,16.1,"plas_ins",5,NA,17,1.281,0.36,"56_1"
"Vianna",2012,56,"56_1","56_1_2","R","Sprague_Dawley_rat","M",24,40,"ad_lib",17.96,72.63,9.4,0.69,4.34,0.92,5.95,16.1,"plas_ins",5,NA,14,1.245,0.407427294,"56_1"
"Shimomura",2000,57,"57_2","57_2_1","R","Sprague_Dawley_rat","M",8,4,"ad_lib",21.09,67.31,11.61,0.98,1.78,1.3,4.06,16.4,"plas_ins",7,NA,5,7.8,5.142956348,"57_2"
"Shimomura",2000,57,"57_2","57_2_2","R","Sprague_Dawley_rat","M",8,4,"ad_lib",23.79,60.89,11.61,2.67,4.48,3.33,10.48,16.4,"plas_ins",7,NA,5,4.6,1.2,"57_2"
"Fu",2015,58,"58_1","58_1_1","M","C57Bl6_mouse","M",13,6,"ad_lib",20.2,19.7,60.1,0.94,1.71,1.25,3.9,17.1,"plas_ins",5,NA,10,1.977,1.086,"58_1"
"Fu",2015,58,"58_1","58_1_2","M","C57Bl6_mouse","M",13,6,"ad_lib",21.66,19.33,59,0.93,3.51,1.24,5.68,17.4,"plas_ins",5,NA,10,1.584,0.489,"58_1"
"Li",2013,60,"60_1","60_1_1","M","C57Bl6_mouse","M",NA,24,"ad_lib",21.8,69.9,8.4,1.03,1.6,1.36,3.99,16,"plas_ins",12,NA,7,14.199,2.631,"60_1"
